,ready,loadDataHD_ready,onAddDataStart_skybox,onAddDataStart_Plane,onAddDataStart_Weather,onAddDataStart_StreetLight,onAddDataStart_Style,onAddDataStart_guideline,onAddDataStart_lightwave,onAddDataStart_ice,onAddDataStart_water,onAddDataStart_SignalLine,onAddDataStart,HDPanel__addHdMap__pMesh_vp,visible_Filter,cacheCurrent,HDPanel__addHdMap,addHdMap,onAABBchanged_skybox,onAABBchanged_Plane,onAABBchanged_Weather,onAABBchanged_StreetLight,onAABBchanged_Style,onAABBchanged_guideline,onAABBchanged_lightwave,onAABBchanged_ice,onAABBchanged_water,onAABBchanged_SignalLine,onAABBchanged,PainterMgr__addHdMap,QLayerMgr__loadDataHD,loadDataHD,onRender3dPass2_skybox,onRender3dPass2_Plane,onRender3dPass2_Weather,onRender3dPass2_StreetLight,onRender3dPass2_Style,onRender3dPass2_guideline,onRender3dPass2_lightwave,onRender3dPass2_ice,onRender3dPass2_water,onRender3dPass2_SignalLine,onRender3dPass2,skybox,plane,greenBelt,roadbed,zebra,diversion,divider,divider_texture,safetyIsland,renderScene,onRenderPass2Order3_skybox,onRenderPass2Order3_Plane,onRenderPass2Order3_Weather,onRenderPass2Order3_StreetLight,onRenderPass2Order3_Style,onRenderPass2Order3_guideline,onRenderPass2Order3_lightwave,onRenderPass2Order3_ice,onRenderPass2Order3_water,onRenderPass2Order3_SignalLine,onRenderPass2Order3,renderPost,PainterMgr__render,PainterMgr__drawHDMap_render,Anchor,PrimitiveScenedraw,drawCustomElement,renderTransparent,renderTransparentAnchor,RenderScene_,renderHD,render
0,307,141,8,13,8,8,8,6,6,7,7,6,5,1,173,188,17,394,6,20,11,9,6,7,7,6,5,7,6,7,610,11747,1,20,14,8,5,6,5,7,7,6,5,66,96,103,580,66,99,219,292,113,1657,9,6,7,6,5,6,6,8,6,9,7,7,6,1838,7,187,24,19,8,7,2172,65
1,291,744,6,9,6,6,6,5,6,6,6,6,5,1,279,207,63,567,7,21,12,6,5,6,6,7,5,5,5,8,755,10699,1,17,14,6,6,6,5,6,6,6,82,117,75,209,392,58,87,181,157,13,1310,11,6,6,6,4,6,6,6,7,8,9,6,6,1560,7,162,21,16,7,7,1865,50
2,1315,73,8,12,8,9,6,6,6,7,6,7,6,1,270,253,37,586,9,21,15,9,7,6,7,6,7,6,6,7,805,26913,1,19,16,111,15,6,7,7,6,8,6,170,82,113,321,48,184,69861,253,19,71071,9,6,6,6,6,7,7,7,7,8,12,8,6,71374,8,181,21,18,7,6,71704,45
3,226,33,6,15,8,5,6,6,6,7,6,5,5,1,159,337,25,540,5,18,11,7,6,5,5,4,6,6,5,7,835,1203,1,15,10,6,5,5,5,5,4,5,6,63,57,79,280,41,82,169,147,14,950,9,7,5,6,5,7,5,6,6,8,7,7,5,1106,8,152,17,16,6,5,1380,42
4,216,58,8,8,7,6,5,5,6,5,7,5,6,1,169,310,24,521,6,16,11,6,5,6,5,8,5,5,5,8,699,29307,1,12,11,5,4,6,6,5,6,4,5,82,64,84,334,171,86,173,157,13,1180,7,6,8,5,5,5,7,6,5,8,8,8,5,1334,7,217,28,15,6,9,1683,51
5,253,124,7,12,8,7,6,6,5,6,6,7,5,1,158,170,11,353,8,17,8,8,8,6,5,6,6,5,6,8,548,9298,0,19,15,7,7,6,6,8,6,6,6,81,68,90,290,41,82,175,190,40,1075,6,6,7,7,6,5,6,6,6,8,8,8,7,1257,7,158,20,18,8,6,1545,53
6,459,106,8,11,8,6,6,8,7,7,6,6,6,1,177,237,30,461,7,19,14,7,7,5,6,5,7,5,6,6,663,14968,0,18,14,7,6,5,6,6,5,5,5,88,75,134,319,76,93,194,162,15,1177,9,7,6,13,7,6,7,7,6,9,77,20,9,1447,9,185,23,18,127,44,1946,104
7,262,87,7,11,8,7,6,6,7,7,6,6,6,2,194,280,29,525,8,18,15,9,7,7,5,6,5,5,6,6,730,11611,1,16,13,6,6,6,7,96,17,10,19,100,112,129,488,62,97,435,181,76,1705,8,6,6,6,6,6,5,7,7,10,12,7,8,2145,19,188,30,140,21,7,2637,97
8,369,99,8,10,7,6,6,7,5,5,6,8,9,2,324,196,22,566,12,25,73,13,6,6,44,15,8,5,5,10,901,10593,1,18,11,6,6,5,7,5,5,5,5,91,76,100,294,91,113,201,166,15,1166,7,5,5,7,5,6,7,6,6,7,5,7,6,1331,8,163,20,16,12,8,1647,37
9,245,113,11,23,11,8,7,6,7,8,7,10,17,2,190,364,56,631,7,44,311,15,8,7,5,5,6,6,7,12,1234,12844,1,21,14,6,7,7,6,6,6,5,6,87,221,391,532,69,107,209,180,21,1840,9,7,7,6,6,7,8,8,10,9,14,12,7,2042,9,239,30,18,14,6,2451,47
10,243,55,8,12,7,7,6,8,7,6,7,6,7,1,178,176,15,384,8,22,10,9,7,6,6,5,7,7,6,9,600,10275,1,22,14,7,7,6,6,5,70,18,8,87,77,107,434,70,96,250,192,23,1357,9,9,7,6,6,8,20,17,9,8,12,7,8,1653,8,221,27,19,8,7,2025,57
11,317,69,7,11,8,7,6,5,7,6,7,6,7,1,173,176,13,378,7,19,8,7,6,8,6,5,6,5,6,7,571,10386,1,16,10,6,6,6,6,6,7,5,6,110,76,93,296,43,89,179,145,13,1063,10,6,6,6,7,6,5,7,6,9,9,8,6,1237,7,158,18,18,9,7,1524,50
12,283,61,7,11,9,7,6,6,6,6,6,5,5,1,156,170,11,354,7,18,9,7,6,5,7,6,6,5,6,7,548,12711,1,14,10,6,6,7,5,6,6,5,6,81,67,90,298,41,85,176,183,52,1096,7,7,7,6,6,6,5,7,7,8,13,6,6,1268,6,159,20,18,8,6,1558,54
13,330,117,8,12,7,7,5,8,6,6,7,6,8,2,237,2406,107,2775,10,21,16,8,8,6,7,7,6,6,5,7,2995,20019,0,18,14,6,6,5,7,6,7,7,5,82,77,99,309,222,100,203,214,65,1394,8,6,6,5,5,7,6,7,6,11,8,8,5,1572,7,179,23,18,10,6,1901,49
14,1030,69,14,22,97,37,400,55,24,46,23,21,21,4,1416,511,66,2095,27,51,23,20,21,21,19,20,20,19,21,23,3191,3989,1,27,20,21,21,19,19,19,21,20,19,215,154,207,806,130,293,539,462,35,2887,24,20,23,21,21,21,19,23,22,24,20,21,20,3395,21,451,37,29,22,21,4206,86
15,252,89,7,11,7,6,6,6,6,5,6,6,6,1,174,233,49,479,8,20,14,7,6,6,5,5,5,6,5,7,674,4748,1,18,13,6,7,6,5,6,6,6,6,90,104,102,301,42,82,186,153,37,1117,9,6,5,5,5,6,5,7,6,8,8,7,6,1289,10,170,52,16,9,7,1628,53
16,281,108,8,11,8,6,6,7,8,8,5,7,6,1,183,290,53,686,10,21,11,7,6,6,6,5,5,6,5,7,892,17277,1,17,14,7,6,7,6,6,7,6,5,100,77,289,404,90,92,196,170,18,1455,7,8,6,6,6,7,6,8,8,8,13,8,7,1643,7,190,26,18,8,7,1980,53
17,199,127,13,24,21,21,20,20,20,46,23,20,19,2,1558,526,117,2314,22,44,21,20,21,22,19,20,18,19,19,23,2881,13887,1,39,22,21,20,22,248,26,22,46,22,214,172,560,1261,267,315,464,444,45,3808,24,22,23,20,19,21,20,23,20,25,20,20,20,4597,22,531,46,29,23,22,5533,92
18,544,60,6,11,8,7,6,6,6,7,6,7,7,1,164,173,108,479,10,21,14,8,7,6,5,6,5,7,5,8,686,5450,1,18,15,7,6,5,6,7,6,5,7,84,73,95,303,109,95,311,2522,175,3791,11,9,8,8,7,6,6,10,7,8,9,7,7,3984,7,283,52,15,15,8,4447,52
19,245,124,14,25,20,21,24,22,21,20,19,20,20,2,1352,446,66,1914,23,46,22,21,19,21,24,21,19,22,20,22,2475,11453,2,32,23,21,20,19,19,19,19,19,24,300,176,209,942,147,210,438,958,39,3460,13,11,8,9,10,8,8,12,17,15,15,12,9,3835,12,365,36,28,13,10,4514,78
20,360,95,9,14,9,7,6,7,6,7,6,7,6,1,362,445,63,891,10,20,12,7,7,7,5,6,7,6,6,8,1108,8532,0,17,15,7,7,6,5,6,7,6,6,69,68,149,510,93,356,213,2073,34,3803,18,9,7,7,7,7,6,8,8,9,9,8,7,4004,231,299,29,20,12,7,4693,46
21,254,82,8,11,7,7,7,6,6,8,6,7,5,2,178,240,21,462,8,18,14,8,7,8,6,7,6,6,7,7,671,9176,0,17,13,7,127,18,8,6,6,5,6,83,67,89,289,96,99,322,415,76,1568,11,8,7,7,6,6,9,12,9,12,19,11,7,1916,11,306,35,23,86,22,2491,77
22,239,128,6,11,7,6,6,5,6,7,8,6,7,1,164,167,42,392,8,18,11,7,7,5,8,5,6,5,6,7,588,1095,1,18,13,7,6,6,5,6,6,6,7,62,65,167,289,41,79,174,157,17,1071,13,7,6,6,5,5,8,7,7,8,7,6,6,1252,9,170,22,18,7,6,1548,45
23,462,74,11,23,20,22,22,141,32,22,20,20,19,3,1219,323,48,1638,22,44,23,21,22,20,21,21,21,19,21,99,2402,2952,1,28,22,21,19,19,20,20,20,21,21,183,148,308,2475,262,223,1279,1548,63,6536,24,20,20,20,20,21,19,22,19,22,19,21,20,7040,22,462,34,27,21,20,7835,85
24,210,69,8,13,9,6,7,8,6,5,6,6,7,2,179,180,22,399,8,20,9,7,6,7,6,8,6,8,5,8,610,6573,0,21,14,6,8,6,7,7,6,11,6,180,112,129,512,72,105,293,272,2029,3739,11,7,6,8,6,7,6,9,7,9,14,10,8,3950,11,485,41,156,32,8,4779,46
25,355,167,16,24,20,21,32,21,20,20,19,19,19,3,1972,196,41,2244,8,23,10,8,9,8,7,7,6,6,6,8,2625,12587,1,21,15,7,6,6,6,5,6,5,7,82,71,94,292,49,87,181,158,18,1052,9,7,7,6,6,6,6,7,8,8,7,8,5,1235,9,181,25,21,9,6,1577,42
26,275,64,8,8,6,6,5,6,5,5,5,5,4,1,160,287,13,473,7,19,12,8,6,6,5,5,6,5,5,8,655,8321,1,15,7,5,5,7,5,7,5,6,6,85,71,85,288,49,239,188,161,40,1226,6,11,7,5,5,6,6,5,5,8,8,6,6,1386,6,174,22,15,7,6,1690,356
27,332,76,7,11,7,7,6,5,82,12,10,7,6,1,165,178,39,401,7,20,8,8,6,6,7,5,6,7,5,8,683,10008,0,18,20,14,7,6,6,6,6,5,5,89,68,130,298,67,108,208,245,17,1250,7,6,6,8,6,6,6,6,7,7,12,7,7,1447,9,172,24,18,8,6,1763,57
28,380,260,7,11,7,6,6,5,6,5,8,7,7,2,175,178,16,384,8,21,11,9,6,6,7,5,5,7,7,8,591,11617,1,22,13,7,5,6,5,6,6,6,6,202,110,207,505,141,102,285,253,67,1904,13,7,7,7,8,7,6,11,11,13,20,12,7,2125,9,232,39,25,10,8,2539,63
29,1913,87,8,35,426,17,8,7,7,7,7,8,7,3,168,177,45,413,10,23,13,7,7,7,5,6,8,90,15,9,1213,5277,1,18,27,17,8,6,7,6,6,6,7,83,226,105,296,77,117,204,226,59,1417,9,7,6,8,8,6,5,8,6,9,13,9,7,1636,7,185,26,19,10,8,1977,50
30,381,72,9,12,9,8,6,6,7,6,6,6,6,1,223,189,14,443,7,21,8,7,6,7,5,6,5,7,5,8,645,3575,0,19,14,6,6,7,6,6,6,6,7,92,69,99,416,53,89,220,164,15,1240,7,6,6,6,5,6,6,7,7,9,11,8,6,1421,8,166,21,20,8,7,1742,56
31,255,337,8,14,88,17,9,8,8,90,22,37,15,2,927,233,18,1199,8,22,18,10,8,7,7,8,8,7,8,9,1788,21153,1,20,14,10,12,7,9,89,14,9,6,449,86,108,467,60,86,411,177,17,1886,11,7,6,7,5,6,9,8,6,8,8,7,6,2181,7,174,21,19,9,5,2511,51
32,326,88,7,12,8,6,7,6,5,6,7,5,8,1,182,186,38,425,7,20,16,8,6,6,6,6,6,6,7,7,635,8358,1,28,15,7,7,6,7,6,7,6,6,231,146,135,294,50,145,244,199,21,1487,9,9,6,6,6,7,7,9,7,8,11,8,7,1691,8,293,32,18,10,7,2197,55
33,359,189,27,35,23,26,26,22,28,24,22,20,20,2,1371,1297,71,2788,22,47,23,20,20,1069,48,23,21,21,20,26,4484,16987,2,28,21,20,19,21,20,20,19,20,19,143,149,216,813,116,237,821,483,39,3064,22,74,32,144,24,56,105,27,23,24,184,26,80,4127,25,783,134,23,10,7,5393,51
34,947,165,14,25,21,22,21,21,20,22,20,20,19,3,1283,344,54,1729,24,47,25,21,22,21,19,22,20,195,29,24,2478,21107,4,153,26,21,20,21,21,21,21,20,25,172,154,218,710,112,208,458,419,35,2535,21,22,20,21,25,1219,36,26,22,24,21,27,24,4421,25,519,53,39,24,24,6071,119
35,528,127,16,25,22,21,21,21,21,21,20,22,21,2,3083,529,79,3744,36,52,23,85,21,21,22,21,21,22,20,24,4399,10321,2,29,23,21,21,20,20,20,21,19,126,152,151,209,38666,118,118,207,165,16,39844,10,8,7,6,7,78,12,9,8,9,8,7,7,40354,7,284,314,21,9,6,41160,46
36,249,47,9,14,8,5,6,8,5,6,6,7,7,1,227,191,22,456,6,21,14,7,7,6,6,6,5,7,7,9,667,1372,1,21,16,8,5,7,6,6,6,5,6,74,78,93,355,54,300,225,179,26,1405,11,7,6,5,8,5,6,9,7,8,8,6,8,1596,9,192,25,19,9,7,1932,52
37,293,100,6,10,8,7,6,6,6,5,7,6,5,2,158,186,36,401,7,19,9,8,6,6,6,5,6,6,6,7,595,20196,1,16,10,6,6,5,5,5,6,5,5,83,68,125,408,93,91,210,190,95,1386,7,7,5,6,6,6,7,6,7,7,12,8,7,1554,7,189,24,19,8,7,1884,99
38,380,90,8,12,8,7,299,19,7,6,6,6,6,2,215,205,48,487,8,21,11,7,8,6,5,5,6,6,7,8,1000,11031,1,18,14,7,5,6,6,7,5,7,6,85,71,92,292,46,81,294,170,18,1169,10,6,5,7,7,7,6,6,7,8,8,8,12,1356,8,202,27,19,15,7,1718,68
39,511,135,14,10,6,6,5,5,6,5,6,98,14,1,166,2224,44,2451,7,21,12,6,7,6,5,5,7,5,6,8,2749,16509,1,17,13,6,6,5,6,5,4,5,5,89,70,79,298,48,76,203,163,15,1057,9,5,5,5,6,5,5,8,7,8,10,7,6,1224,6,161,965,23,8,5,2482,48
40,296,103,6,10,7,5,5,6,6,5,5,6,5,1,157,155,12,337,6,19,9,6,6,5,7,5,5,5,5,7,513,7513,0,15,10,6,5,4,6,5,6,4,5,237,76,94,2428,129,102,197,164,16,3462,9,6,5,6,5,7,5,7,6,7,7,7,7,3618,9,177,19,76,16,7,3994,42
41,841,214,9,12,9,6,6,7,7,6,6,7,6,1,328,270,26,650,8,20,15,9,6,8,5,5,5,7,6,8,863,5205,0,17,15,8,6,6,5,6,9,7,6,121,79,113,510,100,112,235,181,187,1672,11,7,9,6,8,6,6,8,6,8,15,73,18,1949,10,199,25,20,500,15,2816,50
42,283,62,7,12,7,7,6,6,6,6,7,5,5,1,161,167,14,359,8,20,10,8,6,7,6,6,7,6,7,7,563,15642,1,21,14,7,6,6,5,6,6,7,6,68,66,539,323,57,89,200,342,29,1733,9,9,6,6,6,6,6,8,8,8,12,9,6,1925,7,182,22,18,14,7,2255,42
43,253,102,6,11,7,8,6,6,7,6,6,6,6,2,227,272,141,666,8,81,26,8,6,8,7,5,6,6,5,9,957,8186,1,109,9,6,6,5,6,5,6,8,6,68,66,218,3192,88,108,304,197,22,4287,13,7,8,6,9,8,6,8,7,9,8,8,7,4565,8,201,23,19,7,6,4913,45
44,315,64,7,13,10,7,6,6,6,7,7,6,9,2,169,184,14,383,6,23,12,9,7,7,6,7,5,6,8,8,603,2175,1,20,13,8,5,6,7,6,81,20,8,90,83,100,317,196,113,252,201,21,1395,10,7,6,6,7,7,7,7,8,9,12,9,10,1684,8,216,34,20,8,6,2055,46
45,276,76,8,12,8,6,7,7,6,5,7,6,5,2,364,190,16,587,6,24,15,9,8,8,7,6,7,5,5,104,953,10386,1,20,14,9,7,8,6,6,7,5,6,92,153,195,326,59,168,188,167,17,1383,11,7,7,7,6,6,6,7,8,8,9,7,6,1572,7,271,29,21,9,7,2004,39
46,288,84,32,37,11,7,7,6,7,7,6,7,6,63,474,284,31,874,8,23,20,11,8,7,6,7,6,9,5,9,1158,13398,1,29,20,10,8,7,6,8,7,6,8,127,113,147,663,70,632,254,223,57,2313,9,7,6,6,1646,21,10,8,7,8,10,9,7,4186,8,10605,68,18,9,7,14981,104
47,224,39,6,11,8,6,6,6,6,6,5,6,5,1,175,441,46,679,8,22,16,7,7,5,5,6,6,5,6,8,880,1144,1,20,15,7,5,6,6,6,6,6,6,85,75,93,288,42,76,261,180,22,1144,9,7,6,6,6,8,6,7,6,8,11,7,6,1329,8,178,21,18,8,7,1656,51
48,281,82,8,13,55,22,8,7,6,6,6,8,5,2,191,176,761,1159,11,27,36,13,8,7,5,7,6,6,6,11,1475,32926,1,33,18,8,6,6,6,7,5,6,6,92,107,105,411,64,94,426,220,19,1560,8,9,7,6,6,8,6,9,7,9,14,8,7,1774,7,230,33,20,11,6,2177,55
49,245,78,10,76,11,6,6,6,7,5,5,5,4,1,300,196,150,665,7,22,15,79,12,8,8,7,7,7,5,9,1026,14360,0,16,12,5,5,6,5,5,5,5,5,88,120,102,304,57,83,182,162,17,1132,11,6,6,7,7,6,5,7,7,10,8,8,6,1302,7,323,33,16,7,6,1777,40
50,243,61,6,10,7,6,5,7,6,6,5,5,5,2,1924,272,115,2331,8,52,12,7,7,5,5,5,6,5,6,8,2547,14414,1,15,12,6,5,5,5,6,6,5,5,185,70,85,431,67,577,205,163,13,1865,18,8,5,5,5,6,7,8,7,8,6,5,6,2036,8,167,18,15,7,6,2345,42
51,604,191,16,25,22,21,21,22,50,22,23,23,20,3,1657,742,104,2560,28,57,104,27,23,21,20,21,22,21,20,25,3271,10654,1,30,20,21,21,21,19,22,21,21,20,189,162,215,5412,242,470,503,490,45,7775,23,21,21,21,22,20,20,25,22,24,19,23,21,8297,26,9751,249,108,34,22,18837,121
52,318,110,8,13,8,6,8,8,7,6,7,11,7,3,418,238,49,731,9,27,15,7,6,5,5,6,5,5,6,8,956,6473,1,20,14,7,6,7,6,5,6,5,7,65,69,94,702,66,90,214,182,20,1522,10,6,7,6,7,6,6,8,7,8,12,8,7,1711,7,183,23,12,14,8,2038,41
53,223,77,8,12,8,9,7,7,6,7,7,7,5,1,194,186,20,418,7,21,18,9,8,6,7,6,41,13,7,10,692,12769,1,20,15,6,6,6,7,7,6,6,6,67,68,87,383,59,86,188,158,16,1133,10,7,7,6,5,6,6,7,7,9,8,8,6,1321,8,189,23,19,16,7,1667,53
54,412,99,8,12,7,7,7,8,7,6,7,6,7,2,169,163,12,362,7,22,10,7,7,7,6,5,6,7,7,7,573,14089,0,20,13,7,6,5,5,6,5,6,5,82,70,89,286,46,79,177,150,14,1011,10,6,7,8,6,6,6,7,8,8,9,8,8,1195,8,169,21,16,7,7,1502,51
55,259,80,9,14,8,5,5,5,5,5,6,5,6,1,194,269,24,507,7,24,15,9,34,19,8,6,7,6,7,10,769,14756,0,21,14,6,6,6,7,6,6,5,5,118,79,121,606,91,132,207,166,16,1554,10,8,6,5,6,5,8,8,7,7,6,7,5,1732,7,179,1437,1879,47,12,5386,58
56,309,71,7,10,7,7,5,5,6,5,5,7,5,1,211,294,27,548,6,40,16,12,10,6,7,7,8,6,8,11,782,4637,2,15,12,6,5,6,73,18,9,6,6,79,58,78,358,51,179,229,170,666,1891,7,6,6,7,7,5,5,8,5,8,10,8,6,2145,8,254,29,15,6,5,2571,40
57,236,131,16,27,23,21,21,21,20,20,19,22,20,2,1591,330,50,2020,27,48,25,24,23,26,24,23,22,26,21,27,2634,35929,1,31,22,20,20,19,21,22,22,20,20,245,201,213,4461,182,211,554,4650,105,25253,22,23,98,27,24,20,21,1116,60,26,23,22,21,26998,24,596,57,2030,30,20,30087,644
58,1140,81,13,23,20,20,19,20,19,19,20,19,21,2,2209,460,54,2771,21,39,21,20,20,20,19,19,19,25,20,23,3302,5081,1,26,20,20,22,21,20,19,21,20,19,139,144,198,831,102,413,569,472,152,3066,22,20,20,23,20,21,19,22,20,21,22,20,21,3566,23,499,47,30,24,20,4399,104
59,468,121,8,12,8,7,7,6,6,7,6,8,6,2,222,177,16,430,8,19,17,8,7,6,6,6,6,7,6,8,644,23408,1,18,15,7,6,6,6,5,6,7,5,65,63,88,287,183,94,327,649,28,1806,6,6,7,7,6,5,6,154,19,12,13,8,8,2154,7,183,21,22,8,6,2507,39
60,236,111,14,23,22,22,21,22,21,21,21,21,20,2,1405,322,49,1825,23,46,22,21,21,20,21,20,23,20,20,25,2386,5294,1,32,22,20,20,19,20,20,20,22,20,194,150,205,750,116,185,419,398,38,2499,23,21,22,21,22,20,19,22,2717,73,23,22,21,5764,23,1529,136,35,24,20,7761,88
61,510,120,16,42,35,55,23,23,20,21,21,21,22,3,2025,903,250,3232,23,49,111,31,82,37,22,21,20,23,22,29,4058,15124,1,32,23,111,27,20,21,21,22,22,21,198,153,202,2209,213,296,5116,510,39,8981,21,21,20,19,20,22,20,425,38,27,20,21,21,10020,22,810,46,31,22,21,11264,117
62,333,82,6,11,8,7,6,6,6,7,7,6,5,1,214,174,14,419,6,19,9,6,7,7,6,6,6,7,5,8,618,1034,1,18,15,7,7,5,6,6,6,5,7,105,76,101,343,47,82,199,9277,128,10382,10,8,7,6,6,8,8,9,7,1061,16,8,7,11635,8,245,125,22,9,8,12130,43
63,527,74,7,13,8,7,6,7,8,6,8,7,6,2,675,759,92,1553,8,23,50,26,10,7,6,6,6,7,6,8,1835,13917,1,19,14,7,6,6,5,7,6,6,6,78,69,89,284,42,137,323,154,22,1316,16,7,6,6,8,6,7,8,7,8,13,8,6,1513,7,185,21,18,7,8,1843,53
64,253,80,8,10,8,7,6,6,6,6,5,7,5,1,173,274,208,684,13,49,35,12,8,8,8,8,6,6,6,9,959,1780,1,26,17,7,7,6,9,9,8,8,6,137,84,139,310,45,79,218,166,17,1214,13,8,6,7,7,7,7,7,6,8,9,7,6,1426,7,1246,40,19,10,7,2851,50
65,258,106,7,11,8,6,9,6,7,6,8,6,6,1,237,182,15,450,6,19,14,7,6,8,6,5,7,5,7,9,659,23829,1,63,10,7,6,6,7,6,6,6,5,89,74,93,410,65,92,1950,300,35,3132,8,6,7,9,7,6,6,8,6,8,12,8,6,3360,14,254,28,2638,18,7,6400,51
66,7868,86,6,10,8,7,79,11,7,6,6,5,6,2,395,168,13,592,6,18,13,7,7,7,5,5,6,6,5,7,861,3859,1,22,14,5,5,5,5,4,5,6,4,222,155,87,353,54,74,240,177,26,1409,7,7,6,7,7,7,5,8,6,8,10,8,5,1583,9,179,24,17,13,8,1916,56
67,258,129,15,25,22,201,25,21,21,21,21,21,22,2,1171,1335,84,2646,22,45,24,21,21,21,19,21,21,21,19,23,3396,24768,2,35,24,22,20,23,23,21,20,22,21,2735,579,231,710,157,100,190,159,20,4917,11,6,8,8,7,6,6,7,8,8,9,8,6,5260,8,182,21,17,14,8,5698,51
68,561,106,8,10,7,5,7,6,5,5,6,5,6,1,158,196,111,501,9,18,13,6,6,5,5,6,5,5,4,8,685,3209,0,14,58,14,5,5,5,5,5,4,6,83,60,163,293,75,73,166,219,22,1171,6,6,4,5,5,5,4,6,5,7,10,7,6,1375,6,152,17,15,7,6,1648,49
69,711,192,14,90,24,21,20,22,19,21,25,22,22,3,4836,4612,180,9803,50,46,62,23,20,21,140,24,20,22,19,23,10630,28181,2,74,23,52,39,22,47,21,2227,100,24,1686,286,221,3014,499,228,456,418,34,6887,21,20,20,19,20,20,19,21,20,21,22,21,21,9802,21,371,34,27,22,23,10936,97
70,257,60,6,11,7,5,6,5,7,6,7,7,6,1,187,180,19,404,8,20,17,8,6,6,6,6,6,6,6,8,607,961,0,18,13,7,6,6,7,9,6,7,5,70,458,111,313,90,110,226,204,39,1641,9,7,7,7,5,6,6,7,6,8,8,8,6,1823,8,151,46,17,71,11,2188,41
71,532,123,8,16,9,7,6,7,7,6,7,6,7,1,183,312,20,533,7,20,13,8,7,8,6,8,6,6,7,7,758,16608,1,22,130,49,15,6,6,67,16,8,7,74,74,93,293,276,857,520,271,1222,3718,13,9,8,6,7,8,6,8,8,10,2272,28,12,6450,10,886,83,673,36,12,9700,85
72,5682,160,8,19,8,7,8,7,9,6,6,6,5,1,514,322,37,899,9,24,14,11,8,7,7,6,6,7,5,9,1209,2130,1,27,13,7,6,6,6,8,6,6,7,91,132,1909,317,57,79,177,156,16,2954,11,8,6,6,7,6,6,8,7,9,9,8,6,3151,9,265,29,14,16,8,3722,93
73,302,75,8,13,9,8,7,8,159,24,9,7,7,2,260,378,138,835,15,49,20,10,6,5,7,494,160,24,9,13,1945,7087,1,25,16,8,8,6,6,6,6,6,6,73,188,96,291,143,88,195,475,30,1602,44,12,7,7,6,6,6,8,8,9,12,197,20,2048,10,185,22,23,8,7,2433,48
74,339,79,8,13,8,8,7,7,7,7,7,7,5,1,164,159,15,354,7,19,10,7,8,7,7,7,6,6,7,8,570,17502,1,24,16,8,5,6,8,5,6,7,6,66,70,161,301,479,103,186,192,20,1602,10,7,7,6,7,6,7,8,8,10,7,7,6,1802,7,190,25,18,8,6,2136,47
75,398,52,6,9,7,6,6,6,6,5,5,6,9,2,190,167,15,387,7,19,10,7,5,6,5,5,6,5,6,7,569,10638,1,16,11,5,5,4,6,5,4,5,4,63,57,79,257,34,62,154,136,13,873,1284,29,8,7,6,5,6,32,38,11,11,7,6,2397,6,168,20,16,6,6,2687,105
76,241,37,7,10,9,6,5,7,6,6,6,7,5,1,176,290,24,510,8,17,11,7,5,7,6,11,7,10,8,9,716,930,1,35,19,8,6,8,7,8,6,8,8,250,89,91,358,86,118,268,219,19,1518,10,6,7,5,5,5,7,8,6,9,8,6,5,1728,7,184,24,18,7,7,2069,59
77,293,99,8,12,7,6,7,5,6,5,5,5,5,1,179,150,41,441,9,19,12,7,7,5,6,5,5,5,5,7,665,6975,1,15,11,6,5,8,5,7,6,5,5,80,66,79,910,71,79,452,531,72,2355,7,6,6,5,6,6,6,7,6,7,8,7,6,2520,7,393,22,16,7,5,3041,47
78,308,95,7,22,9,7,5,7,7,5,5,6,5,2,172,285,13,485,6,18,7,7,6,7,8,5,5,5,5,6,1055,11561,1,16,11,5,5,5,5,10,5,7,5,108,70,86,391,58,76,154,158,12,1294,8,7,5,5,5,6,5,7,6,8,7,69,152,1676,8,158,21,17,6,6,1972,68
79,288,74,9,11,8,7,6,6,8,6,6,6,5,1,174,160,17,368,8,18,9,7,5,7,6,6,5,7,7,10,571,7484,3,38,58,13,9,7,6,1535,17,7,6,93,78,92,348,51,76,172,161,40,1143,9,7,6,6,5,7,7,8,7,9,12,8,7,2949,10,175,21,18,9,7,4700,50
